Uncrustables,2.8 oz.,Meals,Sams,13.98,18,$1.75
Lunchables Asst. Ham/Turkey,3.2 oz.,Meals,Sams,8.84,6,$3.00
Pepperoni Rolls,6 oz.,Meals,Sams,$8.58,6,$3.00
Dilly Bites,3.2 oz.,Meals,Sams,10.98,12,$2.00
Hard Boiled Eggs 2pk,3 oz.,Meals,Sams,7.84,12,$1.25
Sargento Balanced Break,2 oz.,Meals,Sams,11.88,8,$3.00
Sargento Cheese/Crackers,1.5 oz.,Meals,Sams,11.48,12,$2.00
Jimmy Dean S.E.C. Croissant,4.5 oz,Meals,Sams,13.98,12,$2.50
M.M. Chicken Sandwich,6.9 oz,Meals,Sams,19.98,10,$4.00
M.M. Cheeseburger,6.2 oz,Meals,Sams,16.98,10,$4.00
Jimmy Dean Turkey Sausage Chibatta,4.6,Meals,Sams,12.38,8,$3.25
White Castle Sliders,3.7 oz,Meals,Sams,14.48,8,$3.75
Hot Pockets Pep Pizza,4.5 oz,Meals,GFS,14.49,12,$2.50
